"player","coach","team","season","price","pos","id"
"Vojvoda","Cos","Joe Gage FC","2022/2023","5","D",4994
"Casale","Cos","Joe Gage FC","2022/2023","1","D",5498
"Masina","Cos","Joe Gage FC","2022/2023","4","D",49
"Ferrari G.","Cos","Joe Gage FC","2022/2023","2","D",1895
"Marlon","Cos","Joe Gage FC","2022/2023","1","D",2355
"Felipe Anderson","Cos","Joe Gage FC","2022/2023","33","C",335
"Zaccagni","Cos","Joe Gage FC","2022/2023","31","C",632
"Vlasic","Cos","Joe Gage FC","2022/2023","24","C",5687
"Djuricic","Cos","Joe Gage FC","2022/2023","2","C",1995
"Dominguez","Cos","Joe Gage FC","2022/2023","1","C",4869
"Asllani","Cos","Joe Gage FC","2022/2023","1","C",5719
"Winks","Cos","Joe Gage FC","2022/2023","1","C",4260
"Radonjic","Cos","Joe Gage FC","2022/2023","20","C",5063
"Martinez L.","Cos","Joe Gage FC","2022/2023","191","A",2764
"Beto","Cos","Joe Gage FC","2022/2023","14","A",5694
"Gonzalez N.","Cos","Joe Gage FC","2022/2023","38","A",4179
"Dessers","Cos","Joe Gage FC","2022/2023","16","A",6026
"Destro","Cos","Joe Gage FC","2022/2023","4","A",472
"Satriano","Cos","Joe Gage FC","2022/2023","1","A",5460
"Falcone","Cos","Joe Gage FC","2023/2024","1","P",2134
"Provedel","Cos","Joe Gage FC","2023/2024","34","P",2814
"Martinez Jo.","Cos","Joe Gage FC","2023/2024","1","P",5116
"Izzo","Cos","Joe Gage FC","2023/2024","2","D",226
"D'ambrosio","Cos","Joe Gage FC","2023/2024","5","D",253
"Buongiorno","Cos","Joe Gage FC","2023/2024","5","D",2724
"Pavard","Cos","Joe Gage FC","2023/2024","19","D",4177
"Zappa","Cos","Joe Gage FC","2023/2024","1","D",4461
"Mazzocchi","Cos","Joe Gage FC","2023/2024","7","D",5481
"Perez N.","Cos","Joe Gage FC","2023/2024","3","D",5677
"Hien","Cos","Joe Gage FC","2023/2024","1","D",6046
"Saponara","Cos","Joe Gage FC","2023/2024","1","C",150
"Renato Sanches","Cos","Joe Gage FC","2023/2024","1","C",2543
"Guendouzi","Cos","Joe Gage FC","2023/2024","8","C",4186
"Nandez","Cos","Joe Gage FC","2023/2024","1","C",4514
"Ikone'","Cos","Joe Gage FC","2023/2024","2","C",4658
"Koopmeiners","Cos","Joe Gage FC","2023/2024","33","C",5685
"Vlasic","Cos","Joe Gage FC","2023/2024","19","C",5687
"Colpani","Cos","Joe Gage FC","2023/2024","23","C",5878
"Sanabria","Cos","Joe Gage FC","2023/2024","36","A",479
"Thauvin","Cos","Joe Gage FC","2023/2024","1","A",2369
"Sanchez","Cos","Joe Gage FC","2023/2024","15","A",2475
"Kouame'","Cos","Joe Gage FC","2023/2024","1","A",2762
"Osimhen","Cos","Joe Gage FC","2023/2024","263","A",4661
"Luvumbo","Cos","Joe Gage FC","2023/2024","6","A",5297
"Alfonso","Fu","AC Ciughina","2019/2020",NA,"P",4440
NA,"Fu","AC Ciughina","2019/2020",NA,"P",NA
NA,"Fu","AC Ciughina","2019/2020",NA,"P",NA
"Vavro","Fu","AC Ciughina","2019/2020",NA,"D",4397
"Izzo","Fu","AC Ciughina","2019/2020",NA,"D",226
"Pisacane","Fu","AC Ciughina","2019/2020",NA,"D",1869
"Cistana","Fu","AC Ciughina","2019/2020",NA,"D",4442
"Pellegrini Lu.","Fu","AC Ciughina","2019/2020",NA,"D",2728
"Pezzella Ger.","Fu","AC Ciughina","2019/2020",NA,"D",2309
"Tonelli","Fu","AC Ciughina","2019/2020",NA,"D",144
NA,"Fu","AC Ciughina","2019/2020",NA,"D",NA
"Schone","Fu","AC Ciughina","2019/2020",NA,"C",4512
"Saponara","Fu","AC Ciughina","2019/2020",NA,"C",150
"Kessie","Fu","AC Ciughina","2019/2020",NA,"C",NA
"Hernani","Fu","AC Ciughina","2019/2020",NA,"C",4423
"Bentancur","Fu","AC Ciughina","2019/2020",NA,"C",2166
"Costa","Fu","AC Ciughina","2019/2020",NA,"C",2200
"Veretout","Fu","AC Ciughina","2019/2020",NA,"C",2215
"Borini","Fu","AC Ciughina","2019/2020",NA,"C",2187
"Dzeko","Fu","AC Ciughina","2019/2020",NA,"A",647
"Politano","Fu","AC Ciughina","2019/2020",NA,"A",536
"Dybala","Fu","AC Ciughina","2019/2020",NA,"A",309
"Lapadula","Fu","AC Ciughina","2019/2020",NA,"A",1939
"Lasagna","Fu","AC Ciughina","2019/2020",NA,"A",90
"Carles Perez","Fu","AC Ciughina","2019/2020",NA,"A",4884
"Mirante","Fu","Hakimi Raikkonen","2020/2021",NA,"P",41
"Consigli","Fu","Hakimi Raikkonen","2020/2021",NA,"P",509
"Pau Lopez","Fu","Hakimi Raikkonen","2020/2021",NA,"P",4419
"Hakimi","Fu","Hakimi Raikkonen","2020/2021",NA,"D",4160
"Di Lorenzo","Fu","Hakimi Raikkonen","2020/2021",NA,"D",2816
"Danilo","Fu","Hakimi Raikkonen","2020/2021",NA,"D",4237
"Muldur","Fu","Hakimi Raikkonen","2020/2021",NA,"D",4521
"Hysaj","Fu","Hakimi Raikkonen","2020/2021",NA,"D",140
"Darmian","Fu","Hakimi Raikkonen","2020/2021",NA,"D",2525
"Bruno Alves","Fu","Hakimi Raikkonen","2020/2021",NA,"D",1864
"Biraghi","Fu","Hakimi Raikkonen","2020/2021",NA,"D",252
"Pereiro","Fu","Hakimi Raikkonen","2020/2021",NA,"C",4886
"Mkhitaryan","Fu","Hakimi Raikkonen","2020/2021",NA,"C",2529
"Politano","Fu","Hakimi Raikkonen","2020/2021",NA,"C",536
"Kulusevski","Fu","Hakimi Raikkonen","2020/2021",NA,"C",2833
"Callejon","Fu","Hakimi Raikkonen","2020/2021",NA,"C",406
"Lopez M.","Fu","Hakimi Raikkonen","2020/2021",NA,"C",4681
"Gagliardini","Fu","Hakimi Raikkonen","2020/2021",NA,"C",801
"Vecino","Fu","Hakimi Raikkonen","2020/2021",NA,"C",181
"Dybala","Fu","Hakimi Raikkonen","2020/2021",NA,"A",309
"Caputo","Fu","Hakimi Raikkonen","2020/2021",NA,"A",2819
"Ribery","Fu","Hakimi Raikkonen","2020/2021",NA,"A",2409
"Muriel","Fu","Hakimi Raikkonen","2020/2021",NA,"A",507
"Ilicic","Fu","Hakimi Raikkonen","2020/2021",NA,"A",177
"Galabinov","Fu","Hakimi Raikkonen","2020/2021",NA,"A",2196
"Audero","Fu","Stame Vecino Utd","2021/2022","18","P",761
"Consigli","Fu","Stame Vecino Utd","2021/2022","13","P",509
"Skorupski","Fu","Stame Vecino Utd","2021/2022","6","P",133
"Alex Sandro","Fu","Stame Vecino Utd","2021/2022","9","D",662
"Dumfries","Fu","Stame Vecino Utd","2021/2022","21","D",5513
"Darmian","Fu","Stame Vecino Utd","2021/2022","9","D",2525
"Lykogiannis","Fu","Stame Vecino Utd","2021/2022","3","D",2653
"Stryger Larsen","Fu","Stame Vecino Utd","2021/2022","2","D",2315
"Pezzella Giu.","Fu","Stame Vecino Utd","2021/2022","1","D",770
"Mario Rui","Fu","Stame Vecino Utd","2021/2022","6","D",142
"Dalbert","Fu","Stame Vecino Utd","2021/2022","1","D",2289
"Pellegrini Lo.","Fu","Stame Vecino Utd","2021/2022","49","C",530
"Zielinski","Fu","Stame Vecino Utd","2021/2022","43","C",152
"Orsolini","Fu","Stame Vecino Utd","2021/2022","13","C",2167
"Messias","Fu","Stame Vecino Utd","2021/2022","9","C",4970
"Skov Olsen","Fu","Stame Vecino Utd","2021/2022","1","C",4415
"Sottil","Fu","Stame Vecino Utd","2021/2022","1","C",2839
"Sensi","Fu","Stame Vecino Utd","2021/2022","1","C",1978
"Vecino","Fu","Stame Vecino Utd","2021/2022","1","C",181
"Abraham","Fu","Stame Vecino Utd","2021/2022","142","A",2544
"Lozano","Fu","Stame Vecino Utd","2021/2022","24","A",4517
"Correa","Fu","Stame Vecino Utd","2021/2022","84","A",495
"Mayoral","Fu","Stame Vecino Utd","2021/2022","3","A",5233
"Shomurodov","Fu","Stame Vecino Utd","2021/2022","39","A",5311
"Ounas","Fu","Stame Vecino Utd","2021/2022","1","A",2195
"Meret","Fu","AF Antastica","2022/2023","15","P",572
"Onana","Fu","AF Antastica","2022/2023","8","P",5830
"Sirigu","Fu","AF Antastica","2022/2023","1","P",2179
"Calabria","Fu","AF Antastica","2022/2023","11","D",357
"Spinazzola","Fu","AF Antastica","2022/2023","19","D",1852
"Alex Sandro","Fu","AF Antastica","2022/2023","5","D",662
"Hateboer","Fu","AF Antastica","2022/2023","5","D",2130
"Florenzi","Fu","AF Antastica","2022/2023","4","D",464
"Bianchetti","Fu","AF Antastica","2022/2023","1","D",612
"Gunter","Fu","AF Antastica","2022/2023","1","D",2758
"Kjaer","Fu","AF Antastica","2022/2023","1","D",2633
"Kvaratskhelia","Fu","AF Antastica","2022/2023","62","C",5839
"Ikone'","Fu","AF Antastica","2022/2023","17","C",4658
"Diaz B.","Fu","AF Antastica","2022/2023","11","C",4825
"Cristante","Fu","AF Antastica","2022/2023","4","C",779
"Sottil","Fu","AF Antastica","2022/2023","8","C",2839
"Saelemaekers","Fu","AF Antastica","2022/2023","1","C",4892
"Zalewski","Fu","AF Antastica","2022/2023","1","C",5422
"Lopez M.","Fu","AF Antastica","2022/2023","1","C",4681
"Berardi","Fu","AF Antastica","2022/2023","32","A",531
"Abraham","Fu","AF Antastica","2022/2023","218","A",2544
"Belotti","Fu","AF Antastica","2022/2023","4","A",441
"Dzeko","Fu","AF Antastica","2022/2023","18","A",647
"Petagna","Fu","AF Antastica","2022/2023","12","A",383
"Barrow","Fu","AF Antastica","2022/2023","1","A",2719
"Milinkovic-Savic V.","Fu","AF Antastica","2023/2024","17","P",2170
"Musso","Fu","AF Antastica","2023/2024","15","P",2792
"Montipo'","Fu","AF Antastica","2023/2024","10","P",4957
"De Vrij","Fu","AF Antastica","2023/2024","5","D",322
"Acerbi","Fu","AF Antastica","2023/2024","5","D",513
"Zappacosta","Fu","AF Antastica","2023/2024","14","D",554
"Milenkovic","Fu","AF Antastica","2023/2024","5","D",2164
"Darmian","Fu","AF Antastica","2023/2024","5","D",2525
"Erlic","Fu","AF Antastica","2023/2024","1","D",4982
"Bakker","Fu","AF Antastica","2023/2024","11","D",5067
"Bastoni S.","Fu","AF Antastica","2023/2024","3","D",5332
"Pellegrini Lo.","Fu","AF Antastica","2023/2024","20","C",530
"Pasalic","Fu","AF Antastica","2023/2024","10","C",2077
"Calhanoglu","Fu","AF Antastica","2023/2024","23","C",2194
"Mkhitaryan","Fu","AF Antastica","2023/2024","10","C",2529
"Fagioli","Fu","AF Antastica","2023/2024","2","C",4465
"Ilic","Fu","AF Antastica","2023/2024","3","C",5007
"Radonjic","Fu","AF Antastica","2023/2024","2","C",5063
"Harroui","Fu","AF Antastica","2023/2024","11","C",5688
"Pinamonti","Fu","AF Antastica","2023/2024","22","A",2038
"Simeone","Fu","AF Antastica","2023/2024","1","A",2061
"Martinez L.","Fu","AF Antastica","2023/2024","245","A",2764
"Colombo","Fu","AF Antastica","2023/2024","13","A",4923
"Castellanos","Fu","AF Antastica","2023/2024","3","A",6226
"Krstovic","Fu","AF Antastica","2023/2024","11","A",6435
"Ospina","Gullo","Deportivo la Carogna","2018/2019",NA,"P",2468
"Karnezis","Gullo","Deportivo la Carogna","2018/2019",NA,"P",570
"Meret","Gullo","Deportivo la Carogna","2018/2019",NA,"P",572
"Kolarov","Gullo","Deportivo la Carogna","2018/2019",NA,"D",2214
"Ceppitelli","Gullo","Deportivo la Carogna","2018/2019",NA,"D",1866
"Masiello","Gullo","Deportivo la Carogna","2018/2019",NA,"D",15
"Toloi","Gullo","Deportivo la Carogna","2018/2019",NA,"D",695
"Colley","Gullo","Deportivo la Carogna","2018/2019",NA,"D",2784
"Manolas","Gullo","Deportivo la Carogna","2018/2019",NA,"D",459
NA,"Gullo","Deportivo la Carogna","2018/2019",NA,"D",NA
NA,"Gullo","Deportivo la Carogna","2018/2019",NA,"D",NA
"Candreva","Gullo","Deportivo la Carogna","2018/2019",NA,"C",332
"De Roon","Gullo","Deportivo la Carogna","2018/2019",NA,"C",22
"Verdi","Gullo","Deportivo la Carogna","2018/2019",NA,"C",376
"Veretout","Gullo","Deportivo la Carogna","2018/2019",NA,"C",2215
"Nainggolan","Gullo","Deportivo la Carogna","2018/2019",NA,"C",467
"Barak","Gullo","Deportivo la Carogna","2018/2019",NA,"C",2172
"Pastore","Gullo","Deportivo la Carogna","2018/2019",NA,"C",2378
"Berisha V.","Gullo","Deportivo la Carogna","2018/2019",NA,"C",2771
"Antenucci","Gullo","Deportivo la Carogna","2018/2019",NA,"A",2267
"Callejon","Gullo","Deportivo la Carogna","2018/2019",NA,"A",406
"Petagna","Gullo","Deportivo la Carogna","2018/2019",NA,"A",383
"Icardi","Gullo","Deportivo la Carogna","2018/2019",NA,"A",277
"Di Francesco","Gullo","Deportivo la Carogna","2018/2019",NA,"A",1857
"Pjaca","Gullo","Deportivo la Carogna","2018/2019",NA,"A",1998
"Sportiello","Gullo","Deportivo la Carogna","2019/2020",NA,"P",4
NA,"Gullo","Deportivo la Carogna","2019/2020",NA,"P",NA
NA,"Gullo","Deportivo la Carogna","2019/2020",NA,"P",NA
"Ceppitelli","Gullo","Deportivo la Carogna","2019/2020",NA,"D",1866
"Kolarov","Gullo","Deportivo la Carogna","2019/2020","44","D",2214
"Rodriguez R.","Gullo","Deportivo la Carogna","2019/2020",NA,"D",2169
"Calabria","Gullo","Deportivo la Carogna","2019/2020",NA,"D",357
"Ghoulam","Gullo","Deportivo la Carogna","2019/2020",NA,"D",390
"Asamoah","Gullo","Deportivo la Carogna","2019/2020",NA,"D",295
"Samir","Gullo","Deportivo la Carogna","2019/2020",NA,"D",790
"Cacciatore","Gullo","Deportivo la Carogna","2019/2020",NA,"D",99
"Soriano","Gullo","Deportivo la Carogna","2019/2020",NA,"C",2625
"Bernardeschi","Gullo","Deportivo la Carogna","2019/2020",NA,"C",184
"Perotti","Gullo","Deportivo la Carogna","2019/2020",NA,"C",237
"Jankto","Gullo","Deportivo la Carogna","2019/2020",NA,"C",1987
"Linetty","Gullo","Deportivo la Carogna","2019/2020",NA,"C",2008
"Ruiz","Gullo","Deportivo la Carogna","2019/2020",NA,"C",2775
"Callejon","Gullo","Deportivo la Carogna","2019/2020",NA,"C",406
NA,"Gullo","Deportivo la Carogna","2019/2020",NA,"C",NA
"Lukaku","Gullo","Deportivo la Carogna","2019/2020","220","A",2531
"Pinamonti","Gullo","Deportivo la Carogna","2019/2020",NA,"A",2038
"Babacar","Gullo","Deportivo la Carogna","2019/2020",NA,"A",183
"Castillejo","Gullo","Deportivo la Carogna","2019/2020",NA,"A",2692
"Okaka","Gullo","Deportivo la Carogna","2019/2020",NA,"A",4324
"Di Francesco","Gullo","Deportivo la Carogna","2019/2020",NA,"A",1857
"Audero","Gullo","Sbocca Juniors","2020/2021",NA,"P",761
"Perin","Gullo","Sbocca Juniors","2020/2021",NA,"P",218
NA,"Gullo","Sbocca Juniors","2020/2021",NA,"P",NA
"D'ambrosio","Gullo","Sbocca Juniors","2020/2021",NA,"D",253
"Caldirola","Gullo","Sbocca Juniors","2020/2021",NA,"D",4958
"Romagnoli","Gullo","Sbocca Juniors","2020/2021",NA,"D",460
"Chiellini","Gullo","Sbocca Juniors","2020/2021",NA,"D",288
"Gagliolo","Gullo","Sbocca Juniors","2020/2021",NA,"D",73
"Bonucci","Gullo","Sbocca Juniors","2020/2021",NA,"D",286
"Faraoni","Gullo","Sbocca Juniors","2020/2021",NA,"D",581
"Toloi","Gullo","Sbocca Juniors","2020/2021",NA,"D",695
"Zaccagni","Gullo","Sbocca Juniors","2020/2021",NA,"C",632
"Malinovskyi","Gullo","Sbocca Juniors","2020/2021",NA,"C",4427
"Nainggolan","Gullo","Sbocca Juniors","2020/2021",NA,"C",467
"Zaniolo","Gullo","Sbocca Juniors","2020/2021",NA,"C",2766
"Pellegrini Lo.","Gullo","Sbocca Juniors","2020/2021",NA,"C",530
"Locatelli","Gullo","Sbocca Juniors","2020/2021",NA,"C",827
"Vidal","Gullo","Sbocca Juniors","2020/2021","40","C",2414
"Bentancur","Gullo","Sbocca Juniors","2020/2021",NA,"C",2166
"Immobile","Gullo","Sbocca Juniors","2020/2021",NA,"A",785
"Vlahovic","Gullo","Sbocca Juniors","2020/2021",NA,"A",2841
"Simeone","Gullo","Sbocca Juniors","2020/2021",NA,"A",2061
"Insigne","Gullo","Sbocca Juniors","2020/2021",NA,"A",409
"Mertens","Gullo","Sbocca Juniors","2020/2021",NA,"A",410
"Correa","Gullo","Sbocca Juniors","2020/2021",NA,"A",495
"Rui Patricio","Gullo","Sbocca Juniors","2021/2022","34","P",4270
"Fuzato","Gullo","Sbocca Juniors","2021/2022","1","P",2781
"Boer","Gullo","Sbocca Juniors","2021/2022","1","P",5304
"Cuadrado","Gullo","Sbocca Juniors","2021/2022","45","D",697
"Faraoni","Gullo","Sbocca Juniors","2021/2022","14","D",581
"Bremer","Gullo","Sbocca Juniors","2021/2022","8","D",2788
"Chiellini","Gullo","Sbocca Juniors","2021/2022","7","D",288
"Yoshida","Gullo","Sbocca Juniors","2021/2022","3","D",4895
"Chiriches","Gullo","Sbocca Juniors","2021/2022","1","D",640
"Odriozola","Gullo","Sbocca Juniors","2021/2022","5","D",2614
"Ismajli","Gullo","Sbocca Juniors","2021/2022","1","D",5010
"Malinovskyi","Gullo","Sbocca Juniors","2021/2022","40","C",4427
"Pasalic","Gullo","Sbocca Juniors","2021/2022","12","C",2077
"Barak","Gullo","Sbocca Juniors","2021/2022","23","C",2172
"Locatelli","Gullo","Sbocca Juniors","2021/2022","20","C",827
"Damsgaard","Gullo","Sbocca Juniors","2021/2022","24","C",4978
"Perisic","Gullo","Sbocca Juniors","2021/2022","30","C",704
"Bajrami","Gullo","Sbocca Juniors","2021/2022","8","C",5451
"Pobega","Gullo","Sbocca Juniors","2021/2022","2","C",5298
"Ibrahimovic","Gullo","Sbocca Juniors","2021/2022","81","A",2530
"Joao Pedro","Gullo","Sbocca Juniors","2021/2022","91","A",1874
"Nzola","Gullo","Sbocca Juniors","2021/2022","1","A",5336
"Simy","Gullo","Sbocca Juniors","2021/2022","40","A",1997
"Gyasi","Gullo","Sbocca Juniors","2021/2022","1","A",4992
"Simeone","Gullo","Sbocca Juniors","2021/2022","4","A",2061
"Montipo'","Gullo","Sbocca Juniors","2022/2023","10","P",4957
"Silvestri","Gullo","Sbocca Juniors","2022/2023","3","P",2211
"Provedel","Gullo","Sbocca Juniors","2022/2023","20","P",2814
"Bastoni","Gullo","Sbocca Juniors","2022/2023","19","D",2120
"Smalling","Gullo","Sbocca Juniors","2022/2023","17","D",4245
"Udogie","Gullo","Sbocca Juniors","2022/2023","19","D",5355
"Biraghi","Gullo","Sbocca Juniors","2022/2023","16","D",252
"Mancini","Gullo","Sbocca Juniors","2022/2023","7","D",2296
"Erlic","Gullo","Sbocca Juniors","2022/2023","10","D",4982
"Mario Rui","Gullo","Sbocca Juniors","2022/2023","5","D",142
"Ismajli","Gullo","Sbocca Juniors","2022/2023","1","D",5010
"Milinkovic-Savic","Gullo","Sbocca Juniors","2022/2023","71","C",645
"Bonaventura","Gullo","Sbocca Juniors","2022/2023","23","C",367
"Brozovic","Gullo","Sbocca Juniors","2022/2023","15","C",265
"Ilic","Gullo","Sbocca Juniors","2022/2023","5","C",5007
"Sensi","Gullo","Sbocca Juniors","2022/2023","3","C",1978
"Maggiore","Gullo","Sbocca Juniors","2022/2023","6","C",4988
"Makengo","Gullo","Sbocca Juniors","2022/2023","1","C",5329
"Matic","Gullo","Sbocca Juniors","2022/2023","2","C",2528
"Zapata D.","Gullo","Sbocca Juniors","2022/2023","117","A",608
"Caprari","Gullo","Sbocca Juniors","2022/2023","13","A",1958
"Jovic","Gullo","Sbocca Juniors","2022/2023","67","A",2438
"Sanabria","Gullo","Sbocca Juniors","2022/2023","42","A",479
"Milik","Gullo","Sbocca Juniors","2022/2023","3","A",2012
"Success","Gullo","Sbocca Juniors","2022/2023","1","A",5676
"Audero","Gullo","Sbocca Juniors","2023/2024","1","P",761
"Di Gennaro","Gullo","Sbocca Juniors","2023/2024","1","P",1926
"Sommer","Gullo","Sbocca Juniors","2023/2024","41","P",2428
"Toloi","Gullo","Sbocca Juniors","2023/2024","1","D",695
"Rodriguez R.","Gullo","Sbocca Juniors","2023/2024","1","D",2169
"Danilo","Gullo","Sbocca Juniors","2023/2024","26","D",4237
"Rrahmani","Gullo","Sbocca Juniors","2023/2024","20","D",4409
"Mari'","Gullo","Sbocca Juniors","2023/2024","1","D",4904
"Bradaric","Gullo","Sbocca Juniors","2023/2024","1","D",5532
"Baschirotto","Gullo","Sbocca Juniors","2023/2024","7","D",5835
"Natan","Gullo","Sbocca Juniors","2023/2024","4","D",6396
"De Roon","Gullo","Sbocca Juniors","2023/2024","2","C",22
"Lazovic","Gullo","Sbocca Juniors","2023/2024","5","C",236
"Pulisic","Gullo","Sbocca Juniors","2023/2024","52","C",2423
"Zambo Anguissa","Gullo","Sbocca Juniors","2023/2024","9","C",4220
"Arthur","Gullo","Sbocca Juniors","2023/2024","1","C",4285
"Bajrami","Gullo","Sbocca Juniors","2023/2024","12","C",5451
"Ederson D.s.","Gullo","Sbocca Juniors","2023/2024","3","C",5792
"Kamada","Gullo","Sbocca Juniors","2023/2024","25","C",5948
"Belotti","Gullo","Sbocca Juniors","2023/2024","3","A",441
"Kean","Gullo","Sbocca Juniors","2023/2024","1","A",2097
"Lukaku","Gullo","Sbocca Juniors","2023/2024","199","A",2531
"Barrow","Gullo","Sbocca Juniors","2023/2024","1","A",2719
"Gonzalez N.","Gullo","Sbocca Juniors","2023/2024","80","A",4179
"Mota","Gullo","Sbocca Juniors","2023/2024","1","A",5882
"Berisha","Jack","Fanta Figa","2018/2019",NA,"P",316
"Sorrentino","Jack","Fanta Figa","2018/2019",NA,"P",413
NA,"Jack","Fanta Figa","2018/2019",NA,"P",NA
"Vrsaljko","Jack","Fanta Figa","2018/2019",NA,"D",523
"Mario Rui","Jack","Fanta Figa","2018/2019",NA,"D",142
NA,"Jack","Fanta Figa","2018/2019",NA,"D",NA
NA,"Jack","Fanta Figa","2018/2019",NA,"D",NA
NA,"Jack","Fanta Figa","2018/2019",NA,"D",NA
NA,"Jack","Fanta Figa","2018/2019",NA,"D",NA
NA,"Jack","Fanta Figa","2018/2019",NA,"D",NA
NA,"Jack","Fanta Figa","2018/2019",NA,"D",NA
"Luis Alberto","Jack","Fanta Figa","2018/2019",NA,"C",2085
"Perisic","Jack","Fanta Figa","2018/2019",NA,"C",704
"Kurtic","Jack","Fanta Figa","2018/2019",NA,"C",28
NA,"Jack","Fanta Figa","2018/2019",NA,"C",NA
NA,"Jack","Fanta Figa","2018/2019",NA,"C",NA
NA,"Jack","Fanta Figa","2018/2019",NA,"C",NA
NA,"Jack","Fanta Figa","2018/2019",NA,"C",NA
NA,"Jack","Fanta Figa","2018/2019",NA,"C",NA
"Quagliarella","Jack","Fanta Figa","2018/2019",NA,"A",568
"Caputo","Jack","Fanta Figa","2018/2019",NA,"A",2819
"Insigne","Jack","Fanta Figa","2018/2019",NA,"A",409
"Stepinski","Jack","Fanta Figa","2018/2019",NA,"A",2327
"Mertens","Jack","Fanta Figa","2018/2019",NA,"A",410
"Iago Falque","Jack","Fanta Figa","2018/2019",NA,"A",475
"Ospina","Jack","Fanta Figa","2019/2020",NA,"P",2468
NA,"Jack","Fanta Figa","2019/2020",NA,"P",NA
NA,"Jack","Fanta Figa","2019/2020",NA,"P",NA
"Chancellor","Jack","Fanta Figa","2019/2020",NA,"D",4429
"Gagliolo","Jack","Fanta Figa","2019/2020",NA,"D",73
"Bocchetti","Jack","Fanta Figa","2019/2020",NA,"D",4420
"Gosens","Jack","Fanta Figa","2019/2020",NA,"D",2160
"Godin","Jack","Fanta Figa","2019/2020",NA,"D",2572
"Ghiglione","Jack","Fanta Figa","2019/2020",NA,"D",244
"D'ambrosio","Jack","Fanta Figa","2019/2020",NA,"D",253
"Bonifazi","Jack","Fanta Figa","2019/2020",NA,"D",2192
"Duncan","Jack","Fanta Figa","2019/2020",NA,"C",526
"Sensi","Jack","Fanta Figa","2019/2020",NA,"C",1978
"Kulusevski","Jack","Fanta Figa","2019/2020",NA,"C",2833
"Kurtic","Jack","Fanta Figa","2019/2020",NA,"C",28
"Ramsey","Jack","Fanta Figa","2019/2020",NA,"C",2472
"Castrovilli","Jack","Fanta Figa","2019/2020",NA,"C",4377
"Traore Hj","Jack","Fanta Figa","2019/2020",NA,"C",2857
"Lucas Leiva","Jack","Fanta Figa","2019/2020",NA,"C",2209
"Kouame'","Jack","Fanta Figa","2019/2020",NA,"A",2762
"Zaza","Jack","Fanta Figa","2019/2020",NA,"A",315
"Gervinho","Jack","Fanta Figa","2019/2020",NA,"A",474
"Zapata D.","Jack","Fanta Figa","2019/2020",NA,"A",608
"Joao Pedro","Jack","Fanta Figa","2019/2020",NA,"A",1874
NA,"Jack","Fanta Figa","2019/2020",NA,"A",NA
"Donnarumma G.","Jack","Fanta Figa","2020/2021",NA,"P",350
"Tatarusanu","Jack","Fanta Figa","2020/2021",NA,"P",160
"Cordaz","Jack","Fanta Figa","2020/2021",NA,"P",1889
"Gosens","Jack","Fanta Figa","2020/2021",NA,"D",2160
"Young","Jack","Fanta Figa","2020/2021",NA,"D",2707
"Smalling","Jack","Fanta Figa","2020/2021",NA,"D",4245
"Gunter","Jack","Fanta Figa","2020/2021",NA,"D",2758
"Ayhan","Jack","Fanta Figa","2020/2021",NA,"D",4979
"Letizia","Jack","Fanta Figa","2020/2021",NA,"D",74
"Ferrari G.","Jack","Fanta Figa","2020/2021",NA,"D",1895
"Karsdorp","Jack","Fanta Figa","2020/2021",NA,"D",2180
"Candreva","Jack","Fanta Figa","2020/2021",NA,"C",332
"Kessie","Jack","Fanta Figa","2020/2021",NA,"C",NA
"Zielinski","Jack","Fanta Figa","2020/2021",NA,"C",152
"Pasalic","Jack","Fanta Figa","2020/2021",NA,"C",2077
"Kurtic","Jack","Fanta Figa","2020/2021",NA,"C",28
"Cyprien","Jack","Fanta Figa","2020/2021",NA,"C",2357
"Soriano","Jack","Fanta Figa","2020/2021",NA,"C",2625
NA,"Jack","Fanta Figa","2020/2021",NA,"C",NA
"Zapata D.","Jack","Fanta Figa","2020/2021",NA,"A",608
"Joao Pedro","Jack","Fanta Figa","2020/2021",NA,"A",1874
"Caicedo","Jack","Fanta Figa","2020/2021",NA,"A",2284
"Kouame'","Jack","Fanta Figa","2020/2021",NA,"A",2762
"Lapadula","Jack","Fanta Figa","2020/2021",NA,"A",1939
"Rafael Leao","Jack","Fanta Figa","2020/2021",NA,"A",4510
"Maignan","Jack","SS FelLazio","2021/2022","32","P",4312
"Plizzari","Jack","SS FelLazio","2021/2022","1","P",2091
"Tatarusanu","Jack","SS FelLazio","2021/2022","1","P",160
"Skriniar","Jack","SS FelLazio","2021/2022","29","D",798
"Karsdorp","Jack","SS FelLazio","2021/2022","15","D",2180
"Di Lorenzo","Jack","SS FelLazio","2021/2022","13","D",2816
"Colley","Jack","SS FelLazio","2021/2022","8","D",2784
"Florenzi","Jack","SS FelLazio","2021/2022","10","D",464
"Amian","Jack","SS FelLazio","2021/2022","1","D",5475
"Ceppitelli","Jack","SS FelLazio","2021/2022","1","D",1866
"Ghiglione","Jack","SS FelLazio","2021/2022","1","D",244
"Milinkovic-Savic","Jack","SS FelLazio","2021/2022","53","C",645
"Barella","Jack","SS FelLazio","2021/2022","39","C",1870
"Traore Hj","Jack","SS FelLazio","2021/2022","12","C",2857
"Strootman","Jack","SS FelLazio","2021/2022","1","C",470
